clubs,url
Paris Saint-Germain,/wiki/Paris_Saint-Germain_Football_Club
LOSC Lille,/wiki/LOSC_Lille
Olympique lyonnais,/wiki/Olympique_lyonnais
AS Saint-Étienne,/wiki/Association_sportive_de_Saint-%C3%89tienne
Olympique de Marseille,/wiki/Olympique_de_Marseille
Montpellier HSC,/wiki/Montpellier_H%C3%A9rault_Sport_Club
OGC Nice,/wiki/Olympique_Gymnaste_Club_Nice
Stade de Reims,/wiki/Stade_de_Reims
Nîmes Olympique,/wiki/N%C3%AEmes_Olympique
Stade rennais FC,/wiki/Stade_rennais_football_club
RC Strasbourg Alsace,/wiki/Racing_Club_de_Strasbourg_Alsace
FC Nantes,/wiki/Football_Club_de_Nantes
SCO d’Angers,/wiki/Angers_sporting_club_de_l%27Ouest
Girondins de Bordeaux,/wiki/Football_Club_des_Girondins_de_Bordeaux
Amiens SC,/wiki/Amiens_Sporting_Club
Toulouse FC,/wiki/Toulouse_Football_Club
AS Monaco,/wiki/Association_sportive_de_Monaco_football_club
Dijon FCO,/wiki/Dijon_Football_C%C3%B4te-d%27Or
FC Metz,/wiki/Football_Club_de_Metz
